tick,x,y,theta,target,distance_to_goal,battery,obstacle_danger,left_obstacle,right_obstacle,behavior,v_left,v_right
1,-3.000,-0.000,0.782,GOAL,4.123,99.97,0.144,0.664,0.674,NavigateToGoal,5.075,2.925
2,-2.996,-0.000,0.732,GOAL,4.120,99.94,0.147,0.696,0.681,NavigateToGoal,4.973,3.027
3,-2.992,-0.000,0.687,GOAL,4.116,99.91,0.122,0.664,0.671,NavigateToGoal,4.883,3.117
4,-2.988,-0.000,0.646,GOAL,4.112,99.88,0.135,0.656,0.667,NavigateToGoal,4.801,3.199
5,-2.984,-0.000,0.610,GOAL,4.108,99.85,0.185,0.680,0.676,NavigateToGoal,4.728,3.272
6,-2.980,-0.000,0.577,GOAL,4.104,99.82,0.139,0.634,0.648,NavigateToGoal,4.661,3.339
7,-2.976,-0.000,0.547,GOAL,4.100,99.79,0.159,0.694,0.654,NavigateToGoal,4.601,3.399
8,-2.971,-0.000,0.520,GOAL,4.095,99.76,0.157,0.679,0.644,NavigateToGoal,4.546,3.454
9,-2.967,-0.000,0.495,GOAL,4.091,99.73,0.145,0.676,0.676,NavigateToGoal,4.496,3.504
10,-2.962,-0.000,0.473,GOAL,4.087,99.70,0.177,0.673,0.673,NavigateToGoal,4.451,3.549
11,-2.958,-0.000,0.453,GOAL,4.082,99.67,0.169,0.683,0.680,NavigateToGoal,4.410,3.590
12,-2.953,-0.000,0.434,GOAL,4.078,99.64,0.168,0.650,0.688,NavigateToGoal,4.373,3.627
13,-2.949,-0.000,0.417,GOAL,4.073,99.61,0.154,0.647,0.691,NavigateToGoal,4.339,3.661
14,-2.944,-0.000,0.402,GOAL,4.069,99.58,0.140,0.681,0.692,NavigateToGoal,4.308,3.692
15,-2.939,-0.000,0.388,GOAL,4.064,99.55,0.141,0.666,0.678,NavigateToGoal,4.279,3.721
16,-2.934,-0.000,0.376,GOAL,4.059,99.52,0.171,0.690,0.643,NavigateToGoal,4.254,3.746
17,-2.930,-0.000,0.364,GOAL,4.055,99.49,0.135,0.660,0.685,NavigateToGoal,4.230,3.770
18,-2.925,-0.000,0.354,GOAL,4.050,99.46,0.116,0.640,0.679,NavigateToGoal,4.209,3.791
19,-2.920,-0.000,0.345,GOAL,4.046,99.43,0.112,0.683,0.643,NavigateToGoal,4.190,3.810
20,-2.915,-0.000,0.336,GOAL,4.041,99.40,0.130,0.663,0.682,NavigateToGoal,4.172,3.828
21,-2.910,-0.000,0.328,GOAL,4.036,99.37,0.156,0.664,0.644,NavigateToGoal,4.156,3.844
22,-2.906,-0.000,0.321,GOAL,4.032,99.34,0.110,0.666,0.670,NavigateToGoal,4.141,3.859
23,-2.901,-0.000,0.315,GOAL,4.027,99.31,0.142,0.662,0.686,NavigateToGoal,4.128,3.872
24,-2.896,-0.000,0.309,GOAL,4.022,99.28,0.153,0.699,0.636,NavigateToGoal,4.116,3.884
25,-2.891,-0.000,0.304,GOAL,4.017,99.25,0.165,0.681,0.674,NavigateToGoal,4.105,3.895
26,-2.886,-0.000,0.299,GOAL,4.013,99.22,0.138,0.659,0.683,NavigateToGoal,4.095,3.905
27,-2.881,-0.000,0.295,GOAL,4.008,99.19,0.138,0.683,0.657,NavigateToGoal,4.086,3.914
